localEastWest,localNorthSouth,tvd,doglegSeverity
0.00,0.00,0.00,0
0.00,0.00,25.00,0
0.31,2.90,176.96,1.4474
0.73,6.25,266.90,0.1389
1.79,11.52,400.79,0.348
3.12,16.12,534.70,0.6841
3.87,18.73,623.66,0.3945
3.96,20.91,685.62,1.243
2.73,26.80,846.51,0.2408
1.45,31.05,980.44,0.2985
-0.85,35.17,1114.35,0.758
-2.64,38.06,1194.28,0.652
-3.52,39.90,1235.23,1.7076
-5.88,44.95,1329.06,0.4322
-8.25,50.11,1421.89,0.2186
-10.47,55.13,1515.73,0.1782
-12.50,59.97,1609.58,0.2128
-14.33,64.45,1703.46,0.3238
-15.91,68.55,1798.36,0.3203
-17.29,72.37,1893.27,0.125
-18.65,75.93,1988.19,0.2646
-19.96,79.15,2083.13,0.2229
-21.16,82.03,2177.08,0.2477
-22.37,84.75,2272.03,0.0397
-23.51,87.33,2366.99,0.2124
-25.78,89.03,2460.94,1.7858
-29.64,89.74,2554.86,0.6472
-33.79,90.21,2648.77,0.1591
-37.62,90.65,2742.69,0.3416
-41.04,91.03,2836.62,0.2373
-45.26,91.63,2930.53,1.277
-50.83,92.50,3025.36,0.4248
-57.31,93.50,3119.13,0.8543
-65.87,94.30,3213.74,1.7514
-77.27,94.85,3308.04,1.8974
-90.10,95.41,3401.16,0.1103
-102.43,96.13,3494.35,0.7775
-113.83,97.20,3587.65,0.5271
-126.15,98.59,3681.83,1.4743
-139.57,100.55,3774.85,0.6499
-152.89,103.03,3868.88,0.4277
-165.29,105.42,3961.02,0.4311
-178.41,107.55,4055.08,1.0714
-192.13,109.14,4148.06,0.3302
-205.31,110.47,4241.12,0.6411
-217.44,111.64,4334.33,0.7599
-229.92,112.46,4427.49,1.2072
-243.65,112.92,4520.48,0.5008
-257.36,112.99,4614.49,0.6823
-269.79,112.75,4707.66,0.865
-281.89,112.55,4800.88,0.4725
-294.72,112.83,4893.99,0.6695
-307.44,113.45,4988.14,0.844
-319.51,114.28,5081.35,0.3362
-332.51,115.49,5175.45,0.85
-345.70,116.72,5268.51,0.4421
-358.57,117.89,5361.62,0.0877
-370.52,118.72,5455.86,1.4404
-381.76,118.54,5550.19,0.836
-393.93,118.21,5643.40,1.1045
-406.53,118.31,5736.55,0.4277
-418.60,118.35,5830.78,0.4344
-431.22,118.21,5922.92,1.5099
-445.09,117.81,6016.90,0.2903
-459.22,117.32,6109.83,0.7508
-473.59,116.96,6202.72,0.4332
-486.72,116.45,6296.81,1.4052
-499.22,116.14,6389.97,0.9184
-511.95,116.24,6484.12,0.6317
-524.37,116.66,6577.29,0.5798
-537.16,117.78,6670.41,0.5053
-549.48,119.17,6764.60,0.8461
-561.54,120.24,6857.81,0.6945
-574.39,121.20,6951.93,0.2181
-586.44,121.89,7046.16,1.3134
-597.37,122.67,7139.52,0.5708
-608.72,124.23,7232.82,0.7278
-621.30,126.16,7326.96,0.8479
-633.76,127.71,7421.13,1.1222
-645.34,128.69,7514.41,0.1972
-656.65,129.38,7608.73,0.551
-666.30,129.68,7702.23,1.5102
-669.96,129.73,7744.07,0.9605
-680.49,135.57,7878.49,3.5706
-686.26,153.81,7970.33,13.5468
-687.13,189.22,8058.35,10.3633
-684.80,241.76,8135.90,16.7707
-685.78,311.50,8198.64,13.289
-689.37,392.55,8247.87,9.7932
-698.27,478.71,8284.08,10.7278
-719.06,567.90,8308.84,10.8891
-736.83,627.73,8317.06,12.746
-763.54,718.78,8321.45,1.8171
-789.78,807.93,8325.02,0.8867
-814.27,899.65,8328.42,3.0672
-835.81,991.10,8331.21,0.8574
-855.79,1083.91,8334.69,1.6331
-873.22,1176.18,8338.95,1.619
-886.86,1269.13,8341.33,4.6725
-893.98,1363.83,8340.84,5.0919
-896.36,1457.78,8338.87,1.5956
-898.82,1551.73,8337.64,2.4743
-900.13,1645.70,8339.28,2.9554
-899.89,1740.64,8342.59,0.8219
-899.31,1834.52,8347.35,1.595
-896.77,1928.36,8352.02,2.1101
-892.80,2023.26,8352.60,3.9004
-888.70,2117.13,8349.98,0.2128
-884.02,2210.98,8347.19,0.7444
-878.04,2304.74,8344.32,0.9629
-871.17,2399.45,8341.58,0.3329
-864.29,2493.18,8339.53,0.5319
-857.33,2587.92,8338.54,0.8421
-852.25,2681.77,8337.72,2.4258
-849.35,2776.71,8336.31,0.5367
-846.94,2868.68,8336.39,2.0652
-844.87,2963.65,8335.97,2.6837
-843.64,3057.60,8333.43,0.5423
-843.31,3151.58,8331.55,1.1506
-844.80,3246.56,8332.46,3.1243
-846.52,3340.52,8334.10,2.193
-848.21,3432.49,8335.70,2.2407
-849.20,3527.46,8336.86,3.2748
-848.12,3622.45,8336.37,0.3795
-847.22,3716.45,8336.20,0.5729
-847.97,3811.42,8338.03,2.8026
-848.63,3906.34,8341.92,1.7122
-844.70,4000.21,8342.09,6.6462
-837.33,4094.86,8338.77,0.6403
-830.54,4189.59,8336.53,1.1188
-823.83,4284.35,8335.45,1.042
-817.03,4378.10,8335.62,1.0036
-811.71,4468.93,8337.13,1.5617
-806.42,4560.76,8338.89,1.2674
-799.36,4653.47,8340.60,1.2991
-790.25,4744.01,8341.00,2.969
-781.69,4834.58,8339.33,2.6935
-777.00,4925.43,8337.50,2.7664
-773.83,5016.36,8335.91,0.6592
-773.35,5108.34,8335.83,4.8132
-776.12,5199.26,8338.37,1.5424
-778.90,5290.18,8340.91,1.5424
-780.49,5381.15,8342.42,1.5422
-781.85,5473.10,8345.07,1.8507
-783.12,5564.05,8347.61,2.0259
-783.69,5656.03,8349.62,0.8278
-783.76,5746.98,8352.32,1.0127
-783.60,5840.91,8355.93,1.0635
-783.03,5934.88,8357.57,3.5997
-781.88,6028.88,8357.16,0.8577
-781.63,6123.87,8356.83,0.9705
-785.07,6217.78,8355.43,4.1101
-791.55,6311.54,8353.71,0.3364
-797.87,6404.32,8352.49,0.3226
-803.53,6498.14,8350.93,1.2128
-807.95,6592.01,8349.13,0.767
-811.07,6685.94,8347.24,1.1892
-813.53,6779.90,8346.26,1.7154
-814.59,6872.88,8347.64,2.4752
-812.95,6966.84,8349.77,1.5486
-811.32,7059.82,8350.50,2.0542
-813.04,7153.78,8349.02,3.2351
-816.57,7247.67,8346.32,0.5422
-819.65,7340.61,8345.99,3.2258
